,id,text,label
0,1513655000668454915,"$BTC #Bitcoin 
1W
Here is an update on weekly cart. Closed on an evening star pattern followed by the current drop we're witnessing. At diagonal support now btw (37.5k-39k). https://t.co/jYI6qjRn0g https://t.co/SgnSFGcZtm",?
1,1511401785369382913,$UNFI about to make some people rich ⏰🤯📈🚀😈 #buythedip $btc $eth $xrp $doge $icp $ect $snx $fet $ach $amp $ankr $zrx $ren $lrc $skl $celo $shib $spell $coval $jasmy $xyo $iotx $req $sand $cro $gala $avax $sol $poly #Crypto,?
2,1509154666441023492,"@CryptoGemsCom 👇
#Crypto // NAKA is ready 🤑 &gt;&gt; @NakamotoGames",?
3,1508034644318564354,"@Dennis_Porter_ @federalreserve or @USTreasury 

Preferably the US Treasury.

For the love that is all freedom buy some Bitcoin before all the communist countries buy it all.

If you love freedom buy #BTC",?
4,1510638987458670592,"@ah_cop @MartiniGuyYT The most extreme crypto skeptics say #Bitcoin will tank to as low as $10,000 in 2022, but a middle ground might be to say the cryptocurrency can ...",?
5,1511088101472587784,@dunderheid2021 I'd like to think that it was mostly not bitcoiners going to this...but hmwhy the fuck call it #Bitcoin Conference? It's a fucking shitcoin fest.,?
6,1511240214194565123,"Looking to get started in NFTs, then ths community is the perfect space for you @Tribes_XD 

#NFTS #BAYC #ETH",?
7,1512109360679378950,Payments company Bolt to buy Wyre in cryptocurrency push - https://t.co/f9YChFcPLy #crypto #blockchain #bitcoin #eth #xrp https://t.co/rgK8D9jInF,?
8,1511791119222251523,"A big chance in a billion!
Price: \398184.0 (2022/04/07 04:39)
#ETH #ethereum",?
9,1510638539834241027,"@MMCrypto OK copy that, we will help u pump FXS since you already all in FXS, pls do tell me when u start to dump it as well

#Bitcoin love me 🚨 🚨 🚨 🚨",?
10,1510644059995615241,@topimp21 @glennhodl Same here. I'm still studying the technology for a deeper technical understanding while trying to get better in explaining #Bitcoin to others.,?
11,1513596928335835138,"@nayibbukele has my support on #bitcoin.
@nayibbukele has my support on shutting down gangs.
Period.
🌋🌋🌋🌋",?
12,1506210557711380483,"# HODL XRP (ripple) Under value #

Yes, XRP will hit $20.00 right after the day the Ripple lawsuit ended. And yes, by HODL 500 XRP in 2024, you are a member of the XRP Millionaire Club! 

Don't give up your goal. Be patience come with rewards",?
13,1510640479544791040,@beautyofhelin #Bitcoin has the zeal of conquering in anyways.,?
14,1513540504058740738,"#ETH or #Bitcoin, what is your choice? https://t.co/jstQTVRVKx",?
15,1511784054873595911,"#USA #USArmy
 #الذهب #البترول #النفط #تميم_بن_حمد
#Europe #eurusd #GBPUSD #usdcad #USDJPY #gold #Oil #BTC #iran #ايران #usdrub
#الاسهم_السعودية #تاسي
#سد_نمار
#اليمن
#حريملاء
#Israel
I told you but saudi camels down oil pries going down https://t.co/oJjNW20uij",?
16,1510647457138499585,"@jyn_urso @ClimateHuman Also, what are the respective energy sources, trends and costs to generate electricity for Bitcoin and for other ends ?

#Bitcoin: greener and cheaper by nature and default.

Legacy : greener with huge effort and costs.",?
17,1511802860610064385,Orange pilled my mother today and got her to download a Wallet and gave her some Satoshi‘s.  Now she says she’s going to give bitcoin to her grandkids and get them to download Wallets.  Today is a good day #Bitcoin,?
18,1513639372779892736,🚨 Price Alert 🚨 In the last 24h the price of #ETH has fallen 🔻-8.98%. This is a change of -$293.78. Current Price of #Ethereum is $2977.62. See 👁️  https://t.co/yQ1ANjmvKm https://t.co/CxXZoZjbCd,?
19,1512098674779828238,"RT @PriceBotETH: #Ethereum / #ETH Price: $3,200 https://t.co/eg98D1z1R7",?
20,1510635259150299141,@dcfgod Cardano. Best stable coin ever.,?
21,1513661161710882817,"Damn, whole feed turned bearish. Im now more bullish than ever. #Bitcoin $btc",?
22,1510644059995615241,@topimp21 @glennhodl Same here. I'm still studying the technology for a deeper technical understanding while trying to get better in explaining #Bitcoin to others.,?
23,1510317535824125957,"@MatthewHyland_ Mr. @CryptoCapo_ sir take ✍️

#Bitcoin",?
24,1510640017823367169,"@web3_coin #CX24 #cryptocurrency #LINK Nice Project
@JasperOgbuzuru @elfin_william",?
25,1510626626299604999,"So far ~~

UTK / #BTC
Top Price Reached: 0.00000679
Highest Profit Reached: 9.52%

#AlgoTrade",?
26,1510317637548621825,"🇫🇷 - France: If you changed your $3,492.78 (25,083,612sats) in 2020 with the ""COVID : newsagents and press distributors"" check stimulus to #Bitcoin, you would have $11,600.17",?
27,1510640646909882370,@VP They control the assets they control the prices :) This will be passed onto the working class —-Inflate business and asset valuations further… They control the money supply through banks and superior loan opportunities. Don’t believe what the nonsense!!!! #Bitcoin,?
28,1513669027163430912,#Bitcoin: BTCUSD ( $BTCUSD) DOWN 5.4047%! Last at 39897.0781 #Crypto #MasterMetals https://t.co/ykBG2dFxTY https://t.co/2T5XzOGINA,?
29,1510637181248831490,@MMCrypto #BTC 75k soon!,?
30,1511086346487488518,"We've started with #Fantom and #AVAX. BSC, Polygon, and Optimism farms will be online today too!",?
31,1511086783815110661,"@CaptainJasmy Wow! This is a huge step ahead.

It's all easy now!

On @nestproclub you can add your wallet and get super technologically improved portfolio analysis!

#blockchain #DeFi #cryptocurrency.",?
32,1510640281779122181,"#Binance Futures Liquidated On:

🟢 $SAND Worth 346,628 USDT
🟢 $DOT Worth 274,910 USDT
🔴 $ALICE Worth 654,751 USDT
🔵 $ANKR Worth 601,608 USDT

#cryptocurrency #cryptotrading #AltCoins #BTC  76745016",?
33,1510653635402866700,@sasha35625 @AlamedaResearch Dirty central speculators hit the rough wave this time. FTX Get your dirty hands off libertarian and decentralized structures. It is also a great opportunity for 100% apy suppliers for stable coins &amp; BTC on Vires. Thanks speculators.#wavesarmy #waves #BTC #cryptocurrecy,?
34,1511087879912673280,@stoolpresidente @BitcoinIsSaving 7. all other crypto bitcoins are not #Bitcoin,?
35,1510318812566020101,"@do_drizzle @PunkAssCNFT @JusticeClubCNFT Did you know that #PunkASSCNFT Project is giving back 90% of Royalties?
#CNFTCommunity #CNFTs #CNFT #Cardano",?
36,1513672000010657796,"COMP, NEAR &amp; KAVA See Recoveries Following Recent Sell-Off
#eth #crypto #ripple #blockchain
https://t.co/74h14LYjTZ",?
37,1513607655935389707,"This is called cope sleep.

You sleep underwater and cope that when you wake up... you're in the green.

If you've never had the pleasure of a cope sleep, you've never truly traded.

$btc #bitcoin https://t.co/WHP9xU8Kzv",?
38,1510643349061087232,I really feel like we are a key generation. #Bitcoin #Bitcoin2022,?
39,1511385924193730572,"@abrorsidqi4 @GokuMarket @GokuMarket is a scam, you will never be able to withdraw your coins or stable coins, #CryptoNews #cryptoscam #CoinMarketCap #CoinGecko #ScamAlert mine have been pending for 1 month",?
40,1510258480116080644,"I am SOOOOO bullish on #bitcoin, #ethereum, and the entire #crypto market!",?
41,1509154753196195844,"@prodigichain To the moon 🚀🚀

#DIGICHAIN #DIGICHAINCOIN #ALT #DIGILAUNCHPAD #cryptocurrency",?
42,1510644201280712706,"#Binance 
 Price Now: $447.87
 ₿0.00964843
 Market Cap: $75376195826.12553 #BNB #BinanceBlockchainWeek",?
43,1513606337741041670,"🐳 #Cardano is down -59% since its $3.10 #AllTimeHigh. However, the asset's top whales (holding 10M+ $ADA) have returned to their largest percentage of supply held in two years, at 46.6%. Note that a large portion of these addresses are owned by exchanges. https://t.co/1xcZaz26BX https://t.co/GPN6q1e1Lc",?
44,1513653379175755776,[1h] #Bitcoin market is strongly trending down current momentum suggests the market is oversold. #wealth #blockchain #forexsignals visit: https://t.co/yuSljvM9Fq for more!,?
45,1510650068902236161,"What you can expect with #DefiDomus?

+Whole sale #crypto clothing
+A supportive Community
+Crypto Rewards
+Exclusive #NFTs 
+Tons of information for new #investors 
+Doing Risky #investments so you don't have to
+So much more!",?
46,1513647936797921282,"Bitcoin falls 5.3% to $39,881 | SaltWire https://t.co/W1ABVw4O8E #Bitcoin",?
47,1512108795840929794,"#Cardano/#ADA Oh ADA... how you disappoint me so. trying to hold the 100 Day SMA after the BMSB rejection, but I think the 50 Day SMA has a high probability of being on the table (Teal Line). https://t.co/ReydXOrUXh",?
48,1510248923306336256,"HEY FOOL YOU GOT A #CRYPTO QUESTION ON FACEBOOK
FOOOOOL
HEY #cryptocurrency",?
49,1513639906626711558,"#bitcoin the hedge against inflation... 🤣 
Looks it!! 
@cz_binance what do you think ?",?
