,id,tweet,label
0,1510219513824002050,"@land_flipper @Z_Humphries $Parma - Another day in $Parma-dise!!! 🌞🌴🌴🌴🧀🧀🧀 Sitting back, chilling, watching those #Nodes Mint!!🤑🤑🤑 Devs delivering daily! - Community Smashing it!! Join the #ParmaMovement 🚀🚀 #Parma
#ParmaToken
#ParmaNodes 
#ParmaCheese
#Altcoins
#memecoins
#crypto
#cryptocurrency",
1,1510219508950396928,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 😀",
2,1510219505112268806,"@TheCybertarClub Awesome project with great potential. The team's dedication and ingenuity with excellent fan support will make this the envy of the crypto world. 
@yeafat222
@nawrozbd24
@EroeTeloo
#Airdrop #Crypto #NFTs",
3,1510219490877140995,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 🤗",
4,1510219471243583490,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 🌞",
5,1510219467485155328,"@PiratesWorldNFT @Tiendzai_99 @Yuhai0911 
Good luck bae🍀🍀🍀

#NFTGiveaway #PIRATESWORLD #NFTs #Btc #Playtoeran #RGOLD #NFTCommunity #Busd #WINNERS #binance",
6,1510219457502789633,"@Cylumfinance Nice project 

@far34360903 @FaisalM23022607 @farzandy_iqbaal 

#CYLUM #CYM #BNB #BSC #cryptocurrency #binance #BTC #ETH",
7,1510219457464967170,@ScottLEOWarrior @goldcoinreserve @elonmusk Welcome to the next generation of #crypto mining,
8,1510219436887883777,"16219) Current #Bitcoin Price is $46642 #BTC #Crypto
Indicators Daily:
RSI: 63.4
MA(20): 43609
MA(50): 41551
MA(200): 48291
Bollinger B. lower/upper: 38355/48863

#Ethereum Price is $3488 #ETH
RSI: 71.0
MA(20): 3072
MA(50): 2873
MA(200): 3489
BB: 2541/3603

#VAIOT Price: $0.067",
9,1510219430592409609,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 💕",
10,1510219413177643010,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 💗",
11,1510219408123170820,"@Bakercrypt0 @enrex_crypto @ProjectSerum @RaydiumProtocol enrex_crypto
 is bringing the TRILLION dollar carbon offset market to #crypto!",
12,1510219398191419398,"The success of every project is dependent on the project team and I am happy this team are professional. This project is very unique with a very phenomenal features.
#SeasonalTokens #CryptoMining #Cyclicallnvesting #BTC",
13,1510219395192172553,"@ErenLeviItis @hype_hoopers @Beterocoin Im gonna buy more and more more!!
@VitalikButerin
@elonmusk
@bitcoin
@saylor
@rogerkver
@APompliano
#crypto #betting #Bitcoin #sports",
14,1510219392222887947,@Bakercrypt0 @enrex_crypto @ProjectSerum @RaydiumProtocol The great market in #crypto is now available and bringing the trillion dollar carbon towards us,
15,1510219388527386630,"@pattitheonly KUNCI COIN are hidden gems, with many utilites and great developer. Visit my bio to get whitepaper. PUMP🚀 $KUNCI #KUNCIARMY #KUNCICOIN #altcoin #1000xgem #DYOR #community #Kuncicoin_id #KUNCIBITMARTLISTING #KUNCIBITRUELISTING",
16,1510219381095432199,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 🎁",
17,1510219363680669697,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 🎊",
18,1510219360971161601,"@ErenLeviItis @cryptogems555 @EvoliteSports @Beterocoin Join and bet your fave game sports!
@elonmusk 
@ENHYPEN_members 
@barrySilbert
@aantonop
@TimDraper
@SatoshiLite
#football #betting
#Crypto #cryptobetting
#blockchainbetting",
19,1510219359251472386,"@Tyvcoin_Project We are trusted by many users because we are constantly growing and developing. Become a part of a promising platform by making secure transactions with TYV Coin.

#tyvcoin #tyvcoinpro #TYV #tothemoon #crypto #aladdincenter #bountycampaign",
20,1510219357921906695,@ScottLEOWarrior @goldcoinreserve @elonmusk Welcome to the next generation of #crypto mining,
21,1510219350258683904,@ArabianCamels really ! registration mist is 0.5 #ETH 🥳,
22,1510219346144292876,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 😂",
23,1510219328943460353,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 💞",
