,id,tweet,label
0,1506572012160004098,"Biggest losers this past hour 📉 (follow for hourly updates)
$EGLD ➡️ -2.26%
$AGLD ➡️ -2.14%
$NBT ➡️ -1.72%
$ASR ➡️ -1.47%
$DREP ➡️ -1.23%
(23/03/2022 @ 10:00am GMT)
#crypto #cryptomarket #cryptotrading #TRADINGTIPS #tradingsignals",
1,1506572001812656137,"Strongest #MACD #sellsignals this hour 📉 (follow for hourly updates)
$SUSHI ➡️ -0.057 %
EMA12 crossed below EMA26 (difference / close price in %) 23/03/2022 @ 10:00am GMT
#crypto #cryptomarket #cryptotrading #TRADINGTIPS #tradingsignals",
2,1506571385065259008,"@stoney_society Wazzap guys, how is your day? Seems like #crypto is going down and I wanna ask you what tools do you use now? I just try to find a suitable instrument for fiat and crypto trading",
3,1506570329275224066,"🚀💸 Wed, 23 Mar 2022 09:55:31 GMT - TOP 10 - $BTC: $42,183.00 -0.32% | $ETH: $2,955.37 -0.1% | $USDT: $1.00 | $BNB: $402.75 -0.05% | $USDC: $1.00 | $XRP: $0.82 +0.04% | $LUNA: $92.85 -0.06% | $SOL: $91.01 -0.34% | $ADA: $0.97 +0.01% | $AVAX: $84.56 -0.6% | #bitcoin",
4,1506567879449509894,"@XRP_Avengers So who am I, if I didn sell any xrp since the previous bear 2017, untill now.. But been accumulating all this years.. Wat title shall I get from u.. 😂😂😂😂",
5,1506566951446925312,@MarzellMoney Depending how the market looks. Need to time #ALTSEASON to rack up and then put back on #btc to hold you down during #BEAR market  and then there’s also #stablecoins to fuck with too. @BBcrypto777 @BxCryptoKilla @DTAPCAP @saylor @coinbase @cz_binance @Bitboy_Crypto @MartiniGuyYT,
6,1506566405445009409,"Pairs:BTCUSDT 
 SELL:42076.99000
 Time :3/23/2022 12:39:08 PM
 Average Decision:46.96540 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #COSUSDT #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 12:39:41 PM",
7,1506565743432945667,"im going to be as honest as i possibly can be, and maybe this is the only tweet that will have a bit of engagement.

If you are bearish and even shorting btc here, i have serious doubt about your TA capabilities.

$BTC #btc #shortsqueeze #beras",
8,1506563582598778881,"@CK113311 I have to agree with you. The whole thing is off. I'm expecting bad news and a crash of Ripple stock IPO prices now the ""Influencers"" are shilling Ripple shares.

Or perhaps that shilling is just to get people to buy more XRP now before it crashes lower",
9,1506563018389291012,"#TradingPlan2030 END

STRAX / #BTC
Exit Sell Price: 0.00002421 
Loss: -0.78% 😢💸",
10,1506562928627142657,"#Crypto meets #BNPL, well...mine now, pay later 🤝

The trading platform for recurring revenues @pipe launched the offering for #bitcoin mining companies, enabling them to offer #payment terms to their customers 💸

Pipe’s #API was also released, set to power financing options 🚀",
11,1506562884553351172,"Pairs:AVAXUSDT 
 SELL:84.81000
 Time :3/23/2022 12:25:24 PM
 Average Decision:45.84257 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #AVAXBIDR #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 12:25:40 PM",
12,1506562815414439942,@thesecondwaffle @elonmusk @cz_binance @IOHK_Charles @cardano_whale Too scared of the buddies i guess...,
13,1506562125275320321,"Pairs:MANAUSDT 
 SELL:2.44330
 Time :3/23/2022 12:22:27 PM
 Average Decision:47.03237 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #LINKBUSD #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 12:22:40 PM",
14,1506559603034804227,"Pairs:ETHUSDT 
 SELL:2954.80000
 Time :3/23/2022 12:12:24 PM
 Average Decision:48.55846 FifteenMinutes 
 Estimated Direction: DOWN
 #BTC #BETABTC #Bitcoin #RSİ #Bollinger -It is not investment advice. You can visit our profile for your own alarms. YTD. 12:12:39 PM",
15,1506559267142258694,"@ninakovalenkoo @SabianNFT @elonmusk @ShakiraMedia @ethereum @dogecoin @ShibainuCoin @BabyDogeCoin @cnnbrk @jtimberlake @selenagomez Hi💗
@Daveeesandavee's account has been closed🤕. Follow him on his new profile @Daveeesandavee2 to continue supporting his giveaways and the #SabianArmy.🎁💸
You won’t regret it.😌",
16,1506557823836213256,@ashwsbreal Hope #BTC Doesn't Crash,
17,1506556903496761344,"Biggest losers this past hour 📉 (follow for hourly updates)
$ASR ➡️ -4.66%
$DAR ➡️ -3.07%
$FRONT ➡️ -2.04%
$MFT ➡️ -1.94%
$RAD ➡️ -1.93%
(23/03/2022 @ 9:00am GMT)
#crypto #cryptomarket #cryptotrading #TRADINGTIPS #tradingsignals",
18,1506555229373964288,"🚀💸 Wed, 23 Mar 2022 08:55:31 GMT - TOP 10 - $BTC: $42,318.00 +0.48% | $ETH: $2,958.30 +0.25% | $USDT: $1.00 | $BNB: $402.96 +0.47% | $USDC: $1.00 | $XRP: $0.82 -0.01% | $LUNA: $92.91 +0.14% | $SOL: $91.32 +0.09% | $ADA: $0.97 -0.03% | $AVAX: $85.07 +0.01% | #bitcoin",
19,1506548876760829953,"Time: 23/03/2022 4:30 EST 🔈
Symbol: ETH 🚀
Alert: Bearish Weakening 🔵
Level: 2933.7
Message: The downward move is losing momentum
$ETH $ETHUSD #ETHUSD #Ethereum #crypto #cryptocurrency #STEAMguidance #cryptotrading",
20,1506548831974047746,"📉 Unusual Exchange Inflow - (Netflow)
21,747 ETH ($64,098,378) have been deposited on exchanges in the last hour
⏱ 2022-03-23 08:00 UTC

#ETH",
21,1506548782884077573,"Recently, the trend is relatively unstable and there are many false news, so we should be careful to make orders. #BTC #ETH #数字货币 #加密货币",
22,1506548704647741440,"@BloodOrCrypto Personally all TA traders are calling XRP to be at $12 before it crash down again....

Personally XRP will surprise all TA callers with much higher price.  But i can be wrong and so many times still.... 

What do u see BLOOD?",
23,1506547372599705602,"BTT is currently trading at $0.00000184, and down $0.86% in the last 24h. 
#BTT #cryptocurrency #cryptotrading #bttcusdt",
24,1506543772200546304,"🔔📉 $XRP is DOWN -1.2% over the last hour to $0.82 
 🕓 23-03-22 | 08:09 GMT",
25,1506543672774512643,Current #Dogecoin Price: $0.1218 📉 🐕+🚀=🌑,
26,1506543012196741120,"#Thailand Bans #Crypto Usage for Payments, As of April 1st, Thailand will prohibit the usage of digital assets as a means of payment for goods and services.
Is it going to give any down side impacts?
#CryptoNews #cryptocurrencies #BTC #bitcoin",
27,1506542776556658702,"4h Close - Bearish Coins 🧸
$VIDT $LAZIO $PAXG 
⬇ Price Below Kumo
🔀 Bearish TK Cross
🟥 Bearish Kumo
⬇ Chikou Below PA
#Binance $USDT #Crypto",
