,id,tweet,label
0,1506226966835437568,I’m starting to see #crypto pump 👀👀,
1,1506226959818362883,@Crypto__emily Yes @Crypto__emily this is just the start for #shuna! Let’s tell the whole #crypto #world 🔥 #shunav2 #shunainuverse,
2,1506226937907318791,"📈Where do you see $EGLD ranking, by the end of 2022, in regard to the largest #cryptocurrencies in the space by market cap?

#crypto #ElrondNetwork #ElrondCommunity #EGLD",
3,1506226808907132931,"Extremely #Bullish On

⚡ $Xno #Nano

🌹 $Rose #OasisNetwork 

💣 $Algo #Algorand 

🏃‍♂️ $Vite #Vite

#DYOR #Crypto #NFA",
4,1506226796592775179,"Since beeple cashed out, #ETH is up 66.64%... Right now, it would be worth $128,025,853.89",
5,1506226726942109700,"@PlasmaFinance I wish this project success sir, and they become one of the best cryptos, I am enthusiastic to participate in this and also support it. Good luck always Red heart Rocket Full moon symbol #Airdrops #cryptocurrency #Giveaways 

@azhary_farid
@aziskha94
@Saharahsilviana",
6,1506226711494815748,"🔥 New Algo detection: BULL/USDT 🔥

🕛 03-22-2022 11:10:06
🚀 $BULL
📈 Current Price: 0.108044 $USDT
⏩ Exchange: #Kucoin

No Investment Advice.
Follow us on Twitter.
#Crypto #Algo #BULL",
7,1506226685108236299,"🔔📈 $XRP is UP 1.19% over the last hour to $0.85! 
 🕓 22-03-22 | 11:10 GMT",
8,1506226596394455040,"While bullish tendencies prevail on the market, the swift run to $43,500 failed, and the first cryptocurrency already retraced to $42,200. But while the selling pressure spiked after the price reached $43,000, we may still see price action similar to March 18.

#BTC #Crypto",
9,1506226595547201539,"@Defispot @THORCommunity I’ve been waiting on this for mooonths. One of the projects I’m mostly excited about🔥🔥
#defi #luna #rune #THORFi #THORChain #btc #crypto #dex #walletswap",
10,1506226520678883333,"#BTC needs to go above 46k level to prove strength💪
Will this happen soon? Vote below 👇 

#crypto #technicalAnalysis #BULLISH",
11,1506226491985702916,"🕵🚀💸 Tue, 22 Mar 2022 11:09:14 GMT - TOP 10 - $BTC: $42,818.00 +0.81% | $ETH: $3,017.10 +0.42% | $USDT: $1.00 +0.04% | $BNB: $406.02 +0.3% | $USDC: $1.00 -0.06% | $XRP: $0.85 +0.46% | $LUNA: $93.34 +0.34% | $SOL: $91.52 +1.03% | $ADA: $0.95 +0.45% | $AVAX: $88.59 +0.65% |",
12,1506226471282618370,"@CoinRadr A super powerful and amazing project. Team are doing well to get success in the future, Keep it up guys. Wish a great success.  #coinradr #radr #bnb #crypto",
13,1506226463355260935,#ETH breaks through 3K again🔥,
14,1506226422393843712,It’s good to wake up to ETHEREUM back over $3k #ETH #Crypto,
15,1506226268941189120,"@FiveTigerNFT This is going to be one of the ⚡#phenomenal⚡ #crypto #currencies project🚀. 
Amazing and hope that this project #follows the #footsteps of Great #success🤩.

@Sumit5517 
@AdityaPushpraj
@ar355169",
